N,T1,T2,alt,dp1,dp1_dot,dp2,dp2_dot,dy1,dy1_dot,dy2,dy2_dot,family,iters,lands,margin,outcome,p,phi,plant,pos_err,psi,q,r,rate_deg,sample,theta,tilt_deg,u,v,v_horiz,v_vert,w,wall,x_E,y_E,y_eng
40,10162.806783765554,19396.4599262923,497.69298899918795,-2.1214206553995614,12.77017784714699,5.171982463449241,0.6330596655607224,-3.884344976395369,-7.505317836999894,-3.9172958694398408,5.240563005208969,engine_out,49,True,0.6010918007908598,land,1.0592379607260227,23.135294672101736,engout_y0.25,0.01873394437573298,16.955235451459885,19.0353250131011,4.51172012835741,1.0639663255331742,0,15.783858671784401,0.836609285182787,-0.22914819419384003,10.81572874635458,0.006001155653720781,1.8032754023725794,25.123582079075277,12.105040073394775,-113.55709210038185,-417.47618559747934,0.25
60,22003.51373590529,9733.150017410517,988.4210484102368,5.99024210125208,-3.1153085768222812,-4.784041263163091,-7.2134568303823485,0.5851454548537731,9.803853964805604,3.262239608913661,-5.569043809175492,engine_out,190,True,0.6009480727405029,land,-17.38814590498805,-3.1025650445371866,engout_y0.25,0.0028985130324172357,-12.838575467467308,-20.21931642666459,-20.723187271505594,0.16500106346492235,1,-3.6693564616143703,0.1361445932909002,-21.430216832086444,-3.7398790642619133,0.00319673920981787,1.8028442182215088,5.3820998733863235,41.004820823669434,154.83968183398247,404.02188654989004,0.25
68,16958.004743754864,7296.555628404021,1198.2591574080288,2.978590093553067,-9.72909208238125,1.5873269028961658,-0.2570648968219764,-0.4775525741279125,-6.135135957598687,2.3915318995714197,11.910821118950846,engine_out,185,True,0.6014309161087779,land,23.286500992253423,-18.562558572739363,engout_y0.25,0.012337601526987589,23.027891218662262,9.954748721793294,13.530180463567376,2.168354832161281,2,10.701672872528434,1.3178246018210515,-15.172692481428385,1.0465024933218956,0.04761047286991064,1.8042927483263336,17.241653374396265,44.412951707839966,-874.2735872045159,883.9110676199198,0.25
54,4204.81905259192,4797.610537484288,850.7191375829279,4.126091245561839,-12.605506896972658,-0.024181567132472992,5.2013723105192184,-2.490366127341986,-1.4327234566211704,-4.9621393382549295,0.23548960983753275,engine_out,59,True,0.60128351315877,land,-20.647471072152257,0.8441607933491468,engout_y0.25,0.04473760873568581,-34.995635598897934,-0.3377179615199566,20.728640956804156,2.3206722908371664,3,-14.346344117075205,2.1625309269546764,-11.49883943144232,4.664905361831188,0.01936092245450639,1.8038505394763102,21.882743866182864,18.170084953308105,-574.27844312042,-638.3940210565925,0.25
70,9279.889734685421,12311.157532930374,1335.8260614797473,1.1375099010765553,-6.949786081910134,3.3441967405378827,12.196765601634983,2.4102219007909307,12.270349618792537,-1.466168325394392,-10.156986898183824,engine_out,101,True,0.6010148561744075,land,13.973918743431568,16.54871804639697,engout_y0.25,0.0138566128418483,4.796457514166832,16.559293726459146,-13.572303391993046,0.7435325632610141,4,21.38028289191425,0.5955227776727757,-16.35405260603875,-2.7245056852698326,0.0033745900403111323,1.8030445685232226,0.7419531503692269,31.49430274963379,421.82103730738163,-211.18331775069237,0.25
54,17641.272818371654,21955.000400319695,846.3124645873904,-3.5066860467195515,9.895026728510857,-3.705516859889031,-4.705873757600784,-5.146929647773505,-13.55720934569836,0.4362938292324543,7.8035127460956595,engine_out,106,True,0.6009498929178683,land,-5.445306934416294,-8.822443941608071,engout_y0.25,0.014600873060345992,-5.016655921936035,-16.058918880298734,11.03414474055171,0.897468229393288,5,-9.26425433717668,0.6042528726786757,-5.304377232678235,6.910327546298504,0.0024907605369459992,1.8028496787536048,14.29491647426039,24.197412729263306,-435.0036319345236,197.83199205994606,0.25
70,14520.575602725148,5378.0021169781685,1307.123094983399,0.27645403146743774,-11.119725215435029,-0.8253758959472179,6.240275117754937,3.6524765118956575,5.7200370222330115,-2.8523608110845093,-0.41438388526439596,engine_out,144,True,0.6010072707532296,land,19.4983568508178,3.1394968274980783,engout_y0.25,0.013812777506697639,-38.38335685431957,-12.733014021068811,0.04782923497259617,0.7641152940095016,6,-16.876669647172093,0.584528145382702,3.9830109756439924,-5.989520765841007,0.0030672155294592515,1.8030218122596886,18.659298038110137,38.69260883331299,-290.6549245119095,-773.7383767962456,0.25
49,2285.554897338152,15015.834709480405,731.1393471434712,-4.098394419997931,1.0009581327438362,1.2072964310646057,-12.912024459242822,-0.9048121422529221,-4.420763602852823,2.006873432546855,3.232366588711738,engine_out,117,False,3.1944707586428076,gate_miss,-12.44984338991344,-20.607367157936096,engout_y0.25,2.280452285257784,31.727617532014847,14.014665596187115,-24.460890935733914,3.44741923047093,7,3.9930856321007013,19.166824551856845,-7.936095725744963,10.063878424465656,1.9241039608290667,9.291192934296754,-3.1085507441312075,21.300089359283447,333.69882702827454,760.2762892842293,0.25
59,19516.698845028877,7821.979699507356,967.508049774915,3.264479711651803,-5.300500372052193,4.044515512883664,13.182934033870698,-3.5450778454542164,-9.389194643497468,-3.481463715434075,10.343797928094865,engine_out,144,True,0.6010535964626927,land,-15.21609527990222,12.692097760736942,engout_y0.25,0.014232451710768385,8.269709944725037,3.957620682194829,-9.255016315728426,0.8335274792789349,8,22.347297053784132,0.5830537466523888,-5.585936717689037,1.798314280807972,0.002351054310179431,1.8031607893880781,4.737090131267905,31.92292547225952,471.22273575514555,-300.83838533610106,0.25
36,7399.539191350341,17470.610119700432,392.0475115068257,-1.0867459885776043,7.783436331152917,-4.409665647894145,-5.463472491502763,0.9856147393584251,7.976211816072464,4.326583430171014,-7.750403183698655,engine_out,180,False,inf,no_recovery,3.4200028516352177,-11.214226437732577,engout_y0.25,nan,-1.6045240312814713,-3.6525333765894175,16.089957766234875,nan,9,-9.462198801338673,nan,-20.4615121986717,-6.710773028433323,nan,nan,26.282374707981944,19.905586004257202,-486.23476792126894,287.48688865453005,0.25
