J,N_rem,alt_at_fault,attempts,eng,eta,ipopt_status,iters,kind,margin,outcome,part,pos_err,profile,rate_after_delay_deg,rate_deg,retry_status,status,success,t_contact_replan,t_f,t_f_frac,tau_d,tilt_after_delay_deg,tilt_deg,v_horiz,v_vert,violation,violation_val,wall
1202.005224266947,26,2.4483955828677693,1,1,0.7752919495105743,Solve_Succeeded,25,efficiency,0.6009039738537088,land,D3,2.5570296176389096e-05,derated,15.869741033671287,0.00018709409783598853,,solved,True,38.05168130900711,35.43465326819569,0.8436822206713259,0.6170280408114195,9.96515062577641,0.0011493495368508856,5.11260915380426e-05,1.8027119215611263,,,3.7160115242004395
nan,,8.978108706082987,,1,0.12602307368069887,,0,efficiency,inf,lost_in_delay,D3,,derated,355.59558537938506,,,,False,,30.030399341974405,0.7150095081422477,1.0503928307443857,205.19852522763514,,,,tumble,2.963296544828209,0.0
128949331.98641716,54,807.0924012086919,1,1,0.9708416927605867,Solve_Succeeded,70,efficiency,0.6009035402382276,land,D3,7.946226718733171e-06,derated,6.7325305537338656,5.88102689512401e-05,,solved,True,43.008893398568034,7.687036499753594,0.18302467856556176,0.32185689881443974,44.1526124772035,0.0003405888508824936,1.4912880261662815e-05,1.8027106207146826,,,15.19035029411316
4779491238.368376,35,49.44993932123117,2,1,0.5486116334795952,Infeasible_Problem_Detected,477,efficiency,inf,no_replan,D3,,derated,22.06267894928283,,Infeasible_Problem_Detected,infeasible,False,,27.076542188879102,0.6446795759256929,0.1153060108423233,12.22444153173803,,,,,,29.638784646987915
nan,,2.581603906921638,,1,0.6512760100886226,,0,efficiency,inf,lost_in_delay,D3,,derated,56.378104917670306,,,,False,,32.84848509756848,0.7821067880373447,0.42764107547700403,98.10838598367556,,,,tilt,1.0900931775963951,0.0
nan,,10.005796624871824,,1,0.04114949516952038,,0,efficiency,inf,lost_in_delay,D3,,derated,289.4401596951535,,,,False,,29.899225202668458,0.711886314349249,0.7674074180424213,125.27704640929115,,,,tumble,2.412001330792946,0.0
4345040261.517578,40,191.37635385480513,2,1,0.4152113916352391,Infeasible_Problem_Detected,535,efficiency,inf,no_replan,D3,,derated,89.08731964625485,,Infeasible_Problem_Detected,infeasible,False,,22.179439388215542,0.5280818901956081,0.5774001739919186,29.113653071334245,,,,,,39.65475869178772
63026558.1604801,50,600.8872696480055,1,1,0.8213327759876847,Solve_Succeeded,150,efficiency,0.6009026101105234,land,D3,1.3396449838397641e-05,derated,9.001281324022193,9.63942303480076e-05,,solved,True,45.21603665314615,12.183032684773206,0.2900722067803144,0.03300396837294101,46.106606571340855,0.0006208457927735168,2.7038848269090584e-05,1.80270783033157,,,25.60157585144043
1832437381.1936507,42,277.9289241943021,2,1,0.697285870090127,Infeasible_Problem_Detected,853,efficiency,inf,no_replan,D3,,derated,56.104358232401125,,Infeasible_Problem_Detected,infeasible,False,,19.90297130020335,0.4738802690524607,1.0479748416692019,69.06755224201007,,,,,,71.00742816925049
7306829350.226957,47,509.8289655097633,2,1,0.330991237424314,Infeasible_Problem_Detected,580,efficiency,inf,no_replan,D3,,derated,40.84111588678536,,Infeasible_Problem_Detected,infeasible,False,,14.381977353058755,0.34242803221568463,0.8819440361112356,71.27916232474105,,,,,,60.1627676486969
