N,T1,T2,alt,dp1,dp1_dot,dp2,dp2_dot,dy1,dy1_dot,dy2,dy2_dot,fault,iters,lands,margin,outcome,p,phi,pos_err,psi,q,r,rate_deg,regime,sample,section,structure,theta,tilt_deg,u,v,v_horiz,v_vert,w,wall,x_E,y_E
64,7125.649504764204,6963.632096006506,1108.1217068247497,0.9427895620465279,0.0027614962309598923,1.307058504782617,-0.886413624510169,-1.4767299704253674,2.163023041561246,1.0213054083287716,-0.9647910688072443,chugging,51,True,0.6009009303745106,land,0.7090636510401964,0.5846735537052155,0.0012171364527944664,-10.461560636758804,-2.1113319508731365,-0.3149701002985239,0.056324058261046674,approach,0,2.3,additive,-0.41836999356746674,0.07610279992821045,-8.150382321327925,2.856412036344409,0.0011091869389972388,1.802702791123532,12.860783864744008,25.018221855163574,-106.97843208909035,58.35238629952073
54,6214.4124176185,5554.029768788721,861.8320903740823,-0.2400746801868081,-0.23476293683052063,-0.4411317855119705,1.0031248088926077,0.7235417738556862,-2.6241787802428007,-0.666746947914362,1.9913019631057978,chugging,55,True,0.6020090703682599,land,-0.9499618615955114,-0.6414377242326736,0.0007515165997051934,2.9919951036572456,1.1206124480813742,1.847838643938303,0.0462985101154373,approach,1,2.3,additive,7.106673836708069,0.0474871346685908,-13.720513042062521,-2.7262569591403008,0.0007629856213589343,1.8060272111047797,3.671756642870605,21.224295139312744,332.9017444513738,-47.0265869051218
70,6550.754741944303,6302.821493247606,1248.5290432348847,0.5612527616322041,2.576894609257579,-1.2962474869564176,-2.387236498296261,1.2591139767318964,-1.0003954153507948,0.002819996327161789,0.44364222697913647,chugging,78,True,0.6013115780799166,land,-2.1032006051391363,6.56068354845047,1.0216988845496246e-05,8.346214732155204,1.8761801719665527,0.9652323201298714,0.03509186508110003,approach,2,2.3,additive,2.17937433719635,0.005712539710387069,-2.5771918706595898,-1.4332938473671675,0.0003302450531194607,1.8039347342397498,9.209183184430003,28.4576678276062,108.15148781985044,195.76595816761255
60,5639.363487125934,5832.9963982885065,1002.7572756633162,-1.2647007973864675,-2.4353580325841904,0.4299999587237835,2.5023370049893856,-0.47810730524361134,0.5874027628451586,-1.3124121017754078,-2.606096176430583,chugging,180,True,0.6009007198799315,land,2.6122110206633806,-6.7424409836530685,0.0010852942688427103,-0.9325394500046968,-0.8856437858194113,-2.497001526877284,0.054491489930852996,approach,3,2.3,additive,-5.3662078231573105,0.07008251655345593,-18.061749394983053,1.5777921862900257,0.0010782643052639374,1.8027021596397947,24.2576090618968,44.14171004295349,-331.34961081668735,-185.9157015569508
55,6414.247398746602,6048.427136065346,869.0436162985861,-0.716677101328969,-2.170508014038205,-0.9399118954315782,-0.28885116800665855,-0.10503369849175215,1.016823934391141,1.209449389949441,-0.2997507154941559,chugging,195,True,0.6009991302221367,land,-0.6755174361169338,5.702700659632683,0.0024108107903127738,12.310242326930165,2.813845982775092,-2.2321047205477953,0.02978399723446858,approach,4,2.3,additive,0.05911850929260254,0.13408504569628765,-16.069465782493353,0.592265035957098,0.0013763198348665728,1.80299739066641,15.740647399798036,34.051069259643555,-261.3517780788243,336.05329394340515
65,5504.675123611937,6518.266350341,1114.8497086949646,1.4197546290233731,2.0274958312511444,0.30584245920181274,0.07743430137634277,0.8823776403442025,-0.5826933514326811,-0.10507353208959103,2.650482852011919,chugging,66,True,0.6016139180526774,land,0.9868197105824947,-5.509709924459457,0.0022054818751679477,-4.8933187779039145,-0.3233414255082607,0.6704901270568371,0.03760056618697606,approach,5,2.3,additive,-7.497907027602196,0.1231946133464481,-0.8191303722560406,-0.15570870600640774,0.0013286660723280767,1.8048417541580322,0.6865120492875576,22.921758890151978,3.290720656514168,-345.93697218224406
59,6790.889788479096,5740.09069318709,978.2080754637718,-0.7821924593299627,-1.159341724589467,0.9507475895807147,-1.7896711695939302,0.34588984306901693,-2.191902397200465,0.5646758917719126,1.290323294699192,chugging,74,True,0.6009793184947052,land,2.13703578338027,3.663115456700325,0.001708289365098763,-13.99708153679967,-2.6740006115287542,2.891801878809929,0.022288694099168962,approach,6,2.3,additive,-2.288380965590477,0.09759296672355734,-10.400297548621893,-3.8488030433654785,0.001069636582944072,1.8029379554841156,12.19014881644398,22.821511030197144,259.8332107998431,109.8177625797689
69,5881.507530707534,7149.707132719539,1224.4709815829992,0.07838323060423136,1.3927972465753555,-0.3169982470571995,1.5766493696719408,-1.1042057918384671,2.5835803169757128,-1.1240856405347586,-1.753556001931429,chugging,82,True,0.6017250825954633,land,-2.5758252404630184,-3.595116078853607,0.0010999615062688177,6.531678009778261,0.18331293761730194,-1.3305542226880789,0.023490637673227135,approach,7,2.3,additive,5.224729776382446,0.0643671225513322,-5.220944117754698,4.309468260034919,0.0007893613011755317,1.8051752477863898,21.384885511361063,31.82973027229309,-4.515703581273556,-121.13150525838137
57,5413.990390855825,5916.079359979497,926.8433034420013,-0.9589655203744769,-1.769091658294201,-0.8421681504696608,-0.6612352095544338,1.3485152358189225,-1.197337618097663,0.22505742218345404,2.2536497991532087,chugging,61,True,0.6013544007424086,land,2.9777407497167587,4.160844773054123,0.0006139266670366158,13.12828017398715,0.5192089509218931,-0.5137421172112226,0.0034137328290760947,approach,8,2.3,additive,1.7504269629716873,0.03631336893385371,-1.5060621686279774,-3.351640561595559,0.0004263049482919079,1.804063202227226,21.916710818186402,22.47439455986023,-70.46698788180947,239.12678519263864
67,6266.77546798953,6385.903555195388,1180.094988271594,0.2561596166342497,1.5323323365300894,0.16337494645267725,0.4490431845188141,-0.5705297542735934,0.015462348237633705,-1.4644765863195062,-0.702721981331706,chugging,113,True,0.6009422184052308,land,-1.7288929000496864,-4.096518889069557,0.0012867487253999086,-5.717736762017012,-2.341034520417452,2.022621788084507,0.02486477301030654,approach,9,2.3,additive,-6.688709914684296,0.07741846465178316,-16.605029348284006,3.4802697598934174,0.000967936967034182,1.8028266552156924,6.862581428140402,34.64576077461243,195.22760435938835,-227.19232700765133
