579 of 800 rows produced a trajectory; re-solving those to keep it
  [traj] 181/579  2040s elapsed
  [traj] 182/579  2049s elapsed
  [traj] 183/579  2055s elapsed
  [traj] 184/579  2060s elapsed
  [traj] 185/579  2061s elapsed
  [traj] 186/579  2064s elapsed
  [traj] 187/579  2074s elapsed
  [traj] 188/579  2076s elapsed
  [traj] 189/579  2085s elapsed
  [traj] 190/579  2087s elapsed
  [traj] 191/579  2090s elapsed
  [traj] 192/579  2102s elapsed
  [traj] 193/579  2103s elapsed
  [traj] 194/579  2110s elapsed
  [traj] 195/579  2114s elapsed
  [traj] 196/579  2114s elapsed
  [traj] 197/579  2126s elapsed
  [traj] 198/579  2127s elapsed
  [traj] 199/579  2134s elapsed
  [traj] 200/579  2141s elapsed
  [traj] 201/579  2143s elapsed
  [traj] 202/579  2151s elapsed
  [traj] 203/579  2162s elapsed
  [traj] 204/579  2163s elapsed
  [traj] 205/579  2168s elapsed
  [traj] 206/579  2174s elapsed
  [traj] 207/579  2192s elapsed
  [traj] 208/579  2192s elapsed
  [traj] 209/579  2226s elapsed
  [traj] 210/579  2231s elapsed
  [traj] 211/579  2233s elapsed
  [traj] 212/579  2246s elapsed
  [traj] 213/579  2273s elapsed
  [traj] 214/579  2280s elapsed
  [traj] 215/579  2286s elapsed
  [traj] 216/579  2292s elapsed
  [traj] 217/579  2302s elapsed
  [traj] 218/579  2338s elapsed
  [traj] 219/579  2349s elapsed
  [traj] 220/579  2358s elapsed
  [traj] 221/579  2362s elapsed
  [traj] 222/579  2365s elapsed
  [traj] 223/579  2381s elapsed
  [traj] 224/579  2395s elapsed
  [traj] 225/579  2402s elapsed
  [traj] 226/579  2438s elapsed
  [traj] 227/579  2446s elapsed
  [traj] 228/579  2460s elapsed
  [traj] 229/579  2464s elapsed
  [traj] 230/579  2491s elapsed
  [traj] 231/579  2504s elapsed
  [traj] 232/579  2506s elapsed
  [traj] 233/579  2528s elapsed
  [traj] 234/579  2541s elapsed
  [traj] 235/579  2552s elapsed
  [traj] 236/579  2565s elapsed
  [traj] 237/579  2575s elapsed
  [traj] 238/579  2609s elapsed
  [traj] 239/579  2618s elapsed
  [traj] 240/579  2626s elapsed
  [traj] 241/579  2637s elapsed
  [traj] 242/579  2642s elapsed
  [traj] 243/579  2657s elapsed
  [traj] 244/579  2681s elapsed
  [traj] 245/579  2683s elapsed
  [traj] 246/579  2715s elapsed
  [traj] 247/579  2719s elapsed
  [traj] 248/579  2720s elapsed
  [traj] 249/579  2736s elapsed
  [traj] 250/579  2737s elapsed
  [traj] 251/579  2767s elapsed
  [traj] 252/579  2776s elapsed
  [traj] 253/579  2786s elapsed
  [traj] 254/579  2790s elapsed
  [traj] 255/579  2809s elapsed
  [traj] 256/579  2820s elapsed
  [traj] 257/579  2822s elapsed
  [traj] 258/579  2840s elapsed
  [traj] 259/579  2864s elapsed
  [traj] 260/579  2870s elapsed
  [traj] 261/579  2879s elapsed
  [traj] 262/579  2886s elapsed
  [traj] 263/579  2905s elapsed
  [traj] 264/579  2906s elapsed
  [traj] 265/579  2913s elapsed
  [traj] 266/579  2943s elapsed
  [traj] 267/579  2948s elapsed
  [traj] 268/579  2948s elap  [t  [traj] 269/579  2983s elapsed
  [traj] 270/579  2994s elapsed
  [traj] 271/579  3004s elapsed
  [traj] 272/579  3024s elapsed
  [traj] 273/579  3025s elapsed
  [traj] 274/579  3038s elapsed
  [traj] 275/579  3054s elapsed
  [traj] 276/579  3061s elapsed
  [traj] 277/579  3067s elapsed
  [traj] 278/579  3093s elapsed
  [traj] 279/579  3108s elapsed
  [traj] 280/579  3123s elapsed
  [traj] 281/579  3125s elapsed
  [traj] 282/579  3143s elapsed
  [traj] 283/579  3148s elapsed
  [traj] 284/579  3151s elapsed
  [traj] 285/579  3169s elapsed
  [traj] 286/579  3184s elapsed
  [traj] 287/579  3193s elapsed
  [traj] 288/579  3211s elapsed
  [traj] 289/579  3216s elapsed
  [traj] 290/579  3226s elapsed
  [traj] 291/579  3242s elapsed
  [traj] 292/579  3255s elapsed
  [traj] 293/579  3259s elapsed
  [traj] 294/579  3281s elapsed
  [traj] 295/579  3284s elapsed
  [traj] 296/579  3295s elapsed
  [traj] 297/579  3307s elap  [t  [traj] 298/579  3340s elapsed
  [traj] 299/579  3351s elapsed
  [traj] 300/579  3352s elapsed
  [traj] 301/579  3357s elap  [t  [traj] 302/579  3392s elapsed
  [traj] 303/579  3399s elapsed
  [traj] 304/579  3400s elapsed
  [traj] 305/579  3411s elapsed
  [traj] 306/579  3418s elapsed
  [traj] 307/579  3434s elapsed
  [traj] 308/579  3460s elapsed
  [traj] 309/579  3468s elap  [t  [traj] 310/579  3534s elapsed
  [traj] 311/579  3546s elap  [t  [traj] 312/579  3599s elapsed
  [traj] 313/579  3607s elapsed
  [traj] 314/579  3610s elapsed
  [traj] 315/579  3630s elapsed
  [traj] 316/579  3631s elapsed
  [traj] 317/579  3649s elapsed
  [traj] 318/579  3670s elapsed
  [traj] 319/579  3685s elapsed
  [traj] 320/579  3686s elapsed
  [traj] 321/579  3710s elapsed
  [traj] 322/579  3722s elapsed
  [traj] 323/579  3738s elapsed
  [traj] 324/579  3739s elapsed
  [traj] 325/579  3754s elapsed
  [traj] 326/579  3759s elapsed
  [traj] 327/579  3773s elapsed
  [traj] 328/579  3782s elapsed
  [traj] 329/579  3784s elapsed
  [traj] 330/579  3791s elapsed
  [traj] 331/579  3793s elapsed
  [traj] 332/579  3813s elap  [t  [traj] 333/579  3831s elapsed
  [traj] 334/579  3837s elapsed
  [traj] 335/579  3841s elap  [t  [traj] 336/579  3864s elapsed
  [traj] 337/579  3868s elapsed
  [traj] 338/579  3891s elapsed
  [traj] 339/579  3900s elapsed
  [traj] 340/579  3917s elapsed
  [traj] 341/579  3928s elapsed
  [traj] 342/579  3941s elapsed
  [traj] 343/579  3946s elapsed
  [traj] 344/579  3953s elapsed
  [traj] 345/579  3967s elapsed
  [traj] 346/579  3971s elapsed
  [traj] 347/579  3981s elapsed
  [traj] 348/579  3982s elapsed
  [traj] 349/579  3992s elapsed
