Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 180/800  2327s elapsed
  [G] 181/800  2407s elapsed
  [G] 182/800  2417s elapsed
  [G] 183/800  2433s elapsed
  [G] 184/800  2436s elapsed
  [G] 185/800  2467s elapsed
  [G] 186/800  2478s elapsed
  [G] 187/800  2504s elapsed
  [G] 188/800  2508s elapsed
  [G] 189/800  2532s elapsed
  [G] 190/800  2540s elapsed
  [G] 191/800  2560s elapsed
  [G] 192/800  2560s elapsed
  [G] 193/800  2565s elapsed
  [G] 194/800  2580s elapsed
  [G] 195/800  2596s elapsed
  [G] 196/800  2596s elapsed
  [G] 197/800  2605s elapsed
  [G] 198/800  2629s elapsed
  [G] 199/800  2629s elapsed
  [G] 200/800  2650s elapsed
  [G] 201/800  2657s elapsed
  [G] 202/800  2662s elapsed
  [G] 203/800  2665s elapsed
  [G] 204/800  2670s elapsed
  [G] 205/800  2681s elapsed
  [G] 206/800  2687s elapsed
  [G] 207/800  2692s elapsed
  [G] 208/800  2711s elapsed
  [G] 209/800  2721s elapsed
  [G] 210/800  2726s elapsed
  [G] 211/800  2847s elapsed
  [G] 212/800  2853s elapsed
  [G] 213/800  2861s elapsed
  [G] 214/800  2872s elapsed
  [G] 215/800  2897s elapsed
  [G] 216/800  2949s elapsed
  [G] 217/800  2970s elapsed
  [G] 218/800  2980s elapsed
  [G] 219/800  3004s elapsed
  [G] 220/800  3006s elapsed
  [G] 221/800  3024s elapsed
  [G] 222/800  3031s elapsed
  [G] 223/800  3040s elapsed
  [G] 224/800  3051s elapsed
  [G] 225/800  3051s elapsed
  [G] 226/800  3059s elapsed
  [G] 227/800  3067s elapsed
  [G] 228/800  3074s elapsed
  [G] 229/800  3079s elapsed
  [G] 230/800  3083s elapsed
  [G] 231/800  3086s elapsed
  [G] 232/800  3102s elapsed
  [G] 233/800  3117s elapsed
  [G] 234/800  3124s elapsed
  [G] 235/800  3128s elapsed
  [G] 236/800  3135s elapsed
  [G] 237/800  3140s elapsed
  [G] 238/800  3140s elapsed
  [G] 239/800  3153s elapsed
  [G] 240/800  3168s elapsed
  [G] 241/800  3172s elapsed
  [G] 242/800  3182s elapsed
  [G] 243/800  3187s elapsed
  [G] 244/800  3187s elapsed
  [G] 245/800  3195s elapsed
  [G] 246/800  3201s elapsed
  [G] 247/800  3203s elapsed
  [G] 248/800  3211s elapsed
  [G] 249/800  3216s elapsed
  [G] 250/800  3233s elapsed
  [G] 251/800  3237s elapsed
  [G] 252/800  3238s elapsed
  [G] 253/800  3250s elapsed
  [G] 254/800  3252s elapsed
  [G] 255/800  3256s elapsed
  [G] 256/800  3256s elapsed
  [G] 257/800  3271s elapsed
  [G] 258/800  3271s elapsed
  [G] 259/800  3283s elapsed
  [G] 260/800  3297s elapsed
  [G] 261/800  3300s elapsed
  [G] 262/800  3302s elapsed
  [G] 263/800  3304s elapsed
  [G] 264/800  3316s elapsed
  [G] 265/800  3317s elapsed
  [G] 266/800  3322s elapsed
  [G] 267/800  3332s elapsed
  [G] 268/800  3332s elapsed
  [G] 269/800  3332s elapsed
  [G] 270/800  3349s elapsed
  [G] 271/800  3356s elapsed
  [G] 272/800  3361s elapsed
  [G] 273/800  3365s elapsed
  [G] 274/800  3369s elapsed
  [G] 275/800  3372s elapsed
  [G] 276/800  3379s elapsed
  [G] 277/800  3385s elapsed
  [G] 278/800  3403s elapsed
  [G] 279/800  3409s elapsed
  [G] 280/800  3411s elapsed
  [G] 281/800  3418s elapsed
  [G] 282/800  3420s elapsed
  [G] 283/800  3427s elapsed
  [G] 284/800  3429s elapsed
  [G] 285/800  3441s elapsed
  [G] 286/800  3447s elapsed
  [G] 287/800  3448s elapsed
  [G] 288/800  3449s elapsed
  [G] 289/800  3458s elapsed
  [G] 290/800  3472s elapsed
  [G] 291/800  3475s elapsed
  [G] 292/800  3482s elapsed
  [G] 293/800  3482s elapsed
  [G] 294/800  3483s elapsed
  [G] 295/800  3492s elapsed
  [G] 296/800  3501s elapsed
  [G] 297/800  3503s elapsed
  [G] 298/800  3523s elapsed
  [G] 299/800  3527s elapsed
  [G] 300/800  3534s elapsed
  [G] 301/800  3537s elapsed
  [G] 302/800  3540s elapsed
  [G] 303/800  3548s elapsed
  [G] 304/800  3553s elapsed
  [G] 305/800  3563s elapsed
  [G] 306/800  3568s elapsed
