Study F — 48 initial conditions x 12 plants = 576 solves
  admissible fraction 0.883 of the raw box (226/256); rejects: {'outside_glide_cone': 30}
  [F] 188/576  4948s elapsed
  [F] 189/576  5006s elapsed
  [F] 190/576  5026s elapsed
  [F] 191/576  5032s elapsed
  [F] 192/576  5063s elapsed
  [F] 193/576  5086s elapsed
  [F] 194/576  5096s elapsed
  [F] 195/576  5096s elapsed
  [F] 196/576  5119s elapsed
  [F] 197/576  5139s elapsed
  [F] 198/576  5150s elapsed
  [F] 199/576  5169s elapsed
  [F] 200/576  5191s elapsed
  [F] 201/576  5209s elapsed
  [F] 202/576  5212s elapsed
  [F] 203/576  5231s elapsed
  [F] 204/576  5241s elapsed
  [F] 205/576  5253s elapsed
  [F] 206/576  5278s elapsed
  [F] 207/576  5278s elapsed
  [F] 208/576  5302s elapsed
  [F] 209/576  5307s elapsed
  [F] 210/576  5316s elapsed
  [F] 211/576  5328s elapsed
  [F] 212/576  5343s elapsed
  [F] 213/576  5346s elapsed
  [F] 214/576  5346s elapsed
  [F] 215/576  5373s elapsed
  [F] 216/576  5378s elapsed
  [F] 217/576  5389s elapsed
  [F] 218/576  5396s elapsed
  [F] 219/576  5404s elapsed
  [F] 220/576  5421s elapsed
  [F] 221/576  5427s elapsed
  [F] 222/576  5439s elapsed
  [F] 223/576  5442s elapsed
  [F] 224/576  5459s elapsed
  [F] 225/576  5463s elapsed
  [F] 226/576  5479s elapsed
  [F] 227/576  5480s elapsed
  [F] 228/576  5502s elapsed
  [F] 229/576  5506s elapsed
  [F] 230/576  5518s elapsed
  [F] 231/576  5533s elapsed
  [F] 232/576  5534s elapsed
  [F] 233/576  5535s elapsed
  [F] 234/576  5536s elapsed
  [F] 235/576  5569s elapsed
  [F] 236/576  5575s elapsed
  [F] 237/576  5583s elapsed
  [F] 238/576  5595s elapsed
  [F] 239/576  5599s elapsed
  [F] 240/576  5605s elapsed
  [F] 241/576  5624s elapsed
  [F] 242/576  5632s elapsed
  [F] 243/576  5634s elapsed
  [F] 244/576  5656s elapsed
  [F] 245/576  5666s elapsed
  [F] 246/576  5681s elapsed
  [F] 247/576  5681s elapsed
  [F] 248/576  5690s elapsed
  [F] 249/576  5706s elapsed
  [F] 250/576  5718s elapsed
  [F] 251/576  5725s elapsed
  [F] 252/576  5752s elapsed
  [F] 253/576  5755s elapsed
  [F] 254/576  5761s elapsed
  [F] 255/576  5774s elapsed
  [F] 256/576  5777s elapsed
  [F] 257/576  5784s elapsed
  [F] 258/576  5802s elapsed
  [F] 259/576  5809s elapsed
  [F] 260/576  5819s elapsed
  [F] 261/576  5820s elapsed
  [F] 262/576  5825s elapsed
  [F] 263/576  5834s elapsed
  [F] 264/576  5839s elapsed
  [F] 265/576  5850s elapsed
  [F] 266/576  5859s elapsed
  [F] 267/576  5876s elapsed
  [F] 268/576  5877s elapsed
  [F] 269/576  5881s elapsed
  [F] 270/576  5893s elapsed
  [F] 271/576  5895s elapsed
  [F] 272/576  5911s elapsed
  [F] 273/576  5915s elapsed
  [F] 274/576  5929s elapsed
  [F] 275/576  5939s elapsed
  [F] 276/576  5950s elapsed
  [F] 277/576  5960s elapsed
  [F] 278/576  5977s elapsed
  [F] 279/576  5981s elapsed
  [F] 280/576  5983s elapsed
  [F] 281/576  5984s elapsed
  [F] 282/576  5993s elapsed
  [F] 283/576  6015s elapsed
  [F] 284/576  6025s elapsed
