F_auth_frac,F_authority,F_dim,F_min_support,F_origin,F_size,F_size_frac,F_sup_frac,F_vol_frac,F_volume,M_auth_frac,M_authority,M_dim,M_min_support,M_origin,M_size,M_size_frac,M_sup_frac,M_vol_frac,M_volume,applicable,category,fault,label,n_eng,n_rcs,tier,vehicle,worst_unit
,2739659.080223068,3,0.0,True,9.397673775598414e+18,,1.0,1.0,9.397673775598414e+18,,26932387.62412131,3,2972550.4483280545,True,2.0091271300133314e+21,,1.0,1.0,2.0091271300133314e+21,True,Boosters,healthy,Healthy,3,0,—,Delta IV Heavy,—
,280720.7510955433,3,0.0,True,1.0110074303221178e+16,,1.0,1.0,1.0110074303221178e+16,,1970432.6476498612,2,204662.35343472654,True,19771246296840.277,,1.0,1.0,0.0,True,Boosters,healthy,Healthy,1,0,—,Ariane 5 ECA,—
,1376691.6868497904,3,0.0,True,1.3478311384370941e+18,,1.0,1.0,1.3478311384370941e+18,,7235449.975201051,2,751522.3734493349,True,266588829301463.8,,1.0,1.0,0.0,True,Boosters,healthy,Healthy,1,0,—,Vega-C,—
,871016.5468198026,3,0.0,True,3.413537136622397e+17,,1.0,1.0,3.413537136622397e+17,,3923814.5303302286,2,407553.7000346439,True,78402118743249.05,,1.0,1.0,0.0,True,Boosters,healthy,Healthy,1,0,—,Vega,—
,0.04999928084846588,3,0.021686904423354542,True,0.00019200000000000006,,1.0,1.0,0.00019200000000000006,,0.040243799066307435,3,0.015226206677348184,True,8.588160000000003e-05,,1.0,1.0,8.588160000000003e-05,True,LEO Satellites,healthy,Healthy,2,12,—,GRACE-FO (per satellite),—
,1.9997237950059972,3,0.2722258477977705,True,20.187504105681533,,1.0,1.0,20.187504105681533,,3.900390253754687,3,1.2104801251342476,True,149.6878195056154,,1.0,1.0,149.6878195056154,True,LEO Satellites,healthy,Healthy,0,8,—,Sentinel-3A,—
,8.998757077526989,3,1.2250163150899678,True,1839.5863116302307,,1.0,1.0,1839.5863116302307,,6.750675439190804,3,2.0950617550400437,True,776.0754752190036,,1.0,1.0,776.0754752190036,True,LEO Satellites,healthy,Healthy,0,8,—,SMAP,—
,166.79885720093336,3,18.006588380663963,True,2099818.145239422,,1.0,1.0,2099818.145239422,,48.93289598351521,3,15.1862491186073,True,295573.1855265297,,1.0,1.0,295573.1855265297,True,GEO Satellites,healthy,Healthy,1,8,—,Solar Dynamics Observatory (SDO),—
,214.99911126533087,3,1.8334695174233386,True,357471.94321083603,,1.0,1.0,357471.94321083603,,199.94618640409826,3,8.535718284304373,True,1245739.2235210675,,1.0,1.0,1245739.2235210675,True,GEO Satellites,healthy,Healthy,2,6,—,Meteosat Second Generation (MSG),—
,9103.564243596891,3,911.7822400870073,True,565160111976.9153,,1.0,1.0,565160111976.9153,,12008.471166422118,3,4301.235402735685,True,3552983372883.56,,1.0,1.0,3552983372883.56,True,Crewed Vehicles,healthy,Healthy,1,24,—,Orion (CM + European Service Module),—
