C_vol_frac,C_volume,F+x,F+y,F+z,F-x,F-y,F-z,F_isotropy,F_max,F_origin,F_vol_frac,F_volume,M+x,M+y,M+z,M-x,M-y,M-z,M_isotropy,M_max,M_origin,M_vol_frac,M_volume,hover_holdable,hover_slack,kind,n_eng,n_rcs,unit
0.9012052771163929,887863417785.631,5966.612056087168,5966.612056087168,1335.0,5966.612056087168,5966.612056087168,46820.0,0.028513455788124732,46953.909063462124,True,0.9795881678030451,2268608408400.4756,13374.683803840653,13909.610083808275,4202.990496393778,13909.610083808277,13374.683803840653,4202.990496393778,0.3021645086432971,14237.61010129573,True,0.9642401877759406,4086271335923.2524,True,0.0,rcs,2,15,RCS 0
0.950984535173157,936905720705.2612,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46375.0,0.038382749326145556,46512.550934676714,True,0.9795881678030449,2268608408400.475,13909.610083808275,13374.683803840653,4202.990496393778,13374.683803840653,13909.610083808275,4202.990496393778,0.3021645086432971,14237.154219853104,True,0.9642401877759406,4086271335923.2524,True,0.0,rcs,2,15,RCS 1
0.8822208841036316,869160078498.9049,5966.612056087168,5651.949538459154,1780.0,5651.949538459154,5966.612056087168,46820.0,0.038017941050832976,46953.909063462124,True,0.9363911902112539,2168569402414.9238,13909.610083808275,13909.610083808275,3446.490496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.24777764981390277,14237.597826066216,True,0.8952736108600735,3794003755748.9863,True,0.0,rcs,2,15,RCS 2
0.8822208841036316,869160078498.9049,5651.949538459154,5966.612056087168,1780.0,5966.612056087168,5651.949538459154,46820.0,0.038017941050832976,46953.90847300524,True,0.9363911902112536,2168569402414.923,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,3446.490496393778,0.24777764981390277,14237.61010129573,True,0.8952736108600735,3794003755748.9863,True,0.0,rcs,2,15,RCS 3
0.9007660414754983,887430684792.1162,5966.612056087168,5966.612056087168,1335.0,5966.612056087168,5966.612056087168,46820.0,0.028513455788124732,46953.909063462124,True,0.9795881678030451,2268608408400.4756,13374.683803840653,13374.683803840653,4202.990496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.3021645086432971,14237.61010129573,True,0.9646135422599453,4087853543080.212,True,0.0,rcs,2,15,RCS 4
0.950512987150321,936441153697.2374,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46375.0,0.038382749326145556,46512.550934676714,True,0.9795881678030449,2268608408400.475,13909.610083808275,13909.610083808275,4202.990496393778,13374.683803840653,13374.683803840653,4202.990496393778,0.3021645086432971,14237.154219853104,True,0.9646135422599458,4087853543080.214,True,0.0,rcs,2,15,RCS 5
0.8822208841036316,869160078498.9049,5966.612056087168,5966.612056087168,1780.0,5651.949538459154,5651.949538459154,46820.0,0.038017941050832976,46953.909063462124,True,0.9363655326099218,2168509982495.3755,13909.610083808275,13909.610083808275,3446.490496393778,13909.610083808277,13909.610083808275,4202.990496393778,0.24777764981390277,14237.597826066216,True,0.8952736108600735,3794003755748.9863,True,0.0,rcs,2,15,RCS 6
0.8822208841036316,869160078498.9049,5651.949538459154,5651.949538459154,1780.0,5966.612056087168,5966.612056087168,46820.0,0.038017941050832976,46953.90893093952,True,0.9363655326099216,2168509982495.375,13909.610083808275,13909.610083808275,4202.990496393778,13909.610083808277,13909.610083808275,3446.490496393778,0.24777764981390277,14237.61010129573,True,0.8952736108600735,3794003755748.9863,True,0.0,rcs,2,15,RCS 7
0.9009021864093578,887564814173.4681,5966.612056087168,5966.612056087168,1335.0,5966.612056087168,5966.612056087168,46820.0,0.028513455788124732,46953.909063462124,True,0.9795881678030451,2268608408400.4756,13909.610083808275,13374.683803840653,4202.990496393778,13374.683803840653,13909.610083808275,4202.990496393778,0.3021645086432971,14237.154219853104,True,0.9642401877759406,4086271335923.2524,True,0.0,rcs,2,15,RCS 8
0.9506544182290961,936580490964.9731,5966.612056087168,5966.612056087168,1780.0,5966.612056087168,5966.612056087168,46375.0,0.038382749326145556,46512.550934676714,True,0.9795881678030449,2268608408400.475,13374.683803840653,13909.610083808275,4202.990496393778,13909.610083808277,13374.683803840653,4202.990496393778,0.3021645086432971,14237.61010129573,True,0.9642401877759406,4086271335923.2524,True,0.0,rcs,2,15,RCS 9
