N_rem,alt,alt_min,att_max_deg,att_ratio,att_ratio_transient,base_outcome,binding,binding_ratio,cone_ratio,cone_ratio_transient,fault,floor_ratio,iters,klass,lands,level,level_label,margin,outcome,path_min_deg,point,pos_err,rate_deg,rate_max_dps,rate_ratio,rate_ratio_transient,rng,section,seed,structure,t_f,tilt_0,tilt_deg,v_desc_0,v_horiz,v_horiz_0,v_vert,vax_max,vax_ratio,vax_ratio_transient,vnorm_max,vnorm_ratio,vnorm_ratio_transient,wall
68,419.08185201377603,,,,,no_recovery,n/a,nan,,,dead_time,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,4,,,,,,1745.6235411771163,2.6,nan,structural,17.0,38.20686033111046,,30.883072386511085,,51.314722556044664,,,,,,,,nan
60,282.4549151778067,,,,,no_recovery,n/a,nan,,,dead_time,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,6,,,,,,1275.8782794737574,2.6,nan,structural,25.0,20.062292577483905,,8.313204708071043,,59.15533486164134,,,,,,,,nan
55,211.89971928079592,,,,,no_recovery,n/a,nan,,,dead_time,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,7,,,,,,978.4891140323834,2.6,nan,structural,30.0,31.25107208588853,,28.06377692264284,,52.934654215708925,,,,,,,,nan
47,109.00383724834768,,,,,no_recovery,n/a,nan,,,dead_time,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,9,,,,,,499.20971160107734,2.6,nan,structural,38.0,50.70774445056735,,50.32792516928573,,32.6664963555655,,,,,,,,nan
30,7.785311977454762,,,,,no_recovery,n/a,nan,,,dead_time,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,13,,,,,,17.049075660045983,2.6,nan,structural,55.0,20.743017850954175,,1.924104743234002,,4.871269687938275,,,,,,,,nan
47.0,109.00383724834768,1.2047040874444934,45.000000449741805,1.0000000099942623,1.0000000099942623,gate_miss,glide cone,2.0223406969385147,2.0223406969385147,2.0223406969385147,engine_out,0.8300793617470604,98.0,structural,False,L1,glide cone 12 to 6 deg,6.878574836564908,gate_miss,5.999999699371487,9,1.8324569167650322,10.453261331894002,10.000000094742319,1.0000000094742318,2.0934119504116935,499.20971160107734,2.1 / 3.1,0.0,structural,38.0,50.70774445056735,41.27144901938945,50.32792516928573,1.9534836349314468,32.6664963555655,7.527001137354402,34.02928795343715,0.5671547992239525,0.8387987528214288,48.19675819390968,0.8032793032318281,1.000000004999083,16.826290369033813
43,56.19745930050679,,,,,no_recovery,n/a,nan,,,engine_out,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,10,,,,,,263.86321605494487,2.1 / 3.1,nan,structural,42.0,60.22259519691488,,51.90204074611806,,19.82121159451976,,,,,,,,nan
39,19.15574425039258,,,,,no_recovery,n/a,nan,,,engine_out,,nan,structural,False,none,infeasible at every level (L4-L4),inf,no_recovery,,11,,,,,,87.31531456645605,2.1 / 3.1,nan,structural,46.0,62.88595225261751,,32.08769130694379,,12.417934527400181,,,,,,,,nan
34.0,3.8072653166479418,0.9999990015418507,45.00000044986419,1.000000009996982,1.2333333456659354,no_recovery,glide cone,1.773690626980246,1.773690626980246,2.022350405363659,engine_out,1.0000009984591463,29.0,structural,True,L1,glide cone 12 to 6 deg,0.6009962713769074,land,6.833655703383672,12,0.013836152095155721,0.7635004027784372,10.000000099972482,1.0000000099972481,2.0000000199993964,17.911836815533665,2.1 / 3.1,0.0,structural,51.0,62.865110661079726,0.5859502375439041,6.055084667661089,0.0030899051174344693,5.678429528714541,1.802988814130722,5.119237366925843,0.08532062278209737,0.10091807779435148,5.422476222166541,0.09037460370277568,0.13835201906441574,7.630785703659058
39.0,19.15574425039258,1.0000043838308057,45.000000449880325,1.0000000099973405,1.058333343910654,no_recovery,glide cone,2.022343178486942,2.022343178486942,2.022343178486942,thrust_loss_50,0.9999956161884122,34.0,multiplicative,True,L1,glide cone 12 to 6 deg,0.6009048309549804,land,5.999992390683334,11,4.0763044443556944e-05,0.08274162161565209,10.000000097967284,1.0000000097967283,2.057514866253252,87.31531456645605,2.1,0.0,multiplicative,46.0,62.88595225261751,0.003057841236416672,32.08769130694379,6.223874066227132e-05,12.417934527400181,1.802714492864941,11.010683128118302,0.18351138546863838,0.5347948551157298,13.88834662246801,0.23147244370780015,0.5734459752080966,9.06533408164978
43,56.19745930050679,,,,,no_recovery,n/a,nan,,,thrust_loss_85,,nan,multiplicative,False,none,infeasible at every level (L4-L4),inf,no_recovery,,10,,,,,,263.86321605494487,2.1,nan,multiplicative,42.0,60.22259519691488,,51.90204074611806,,19.82121159451976,,,,,,,,nan
39,19.15574425039258,,,,,no_recovery,n/a,nan,,,thrust_loss_85,,nan,multiplicative,False,none,infeasible at every level (L4-L4),inf,no_recovery,,11,,,,,,87.31531456645605,2.1,nan,multiplicative,46.0,62.88595225261751,,32.08769130694379,,12.417934527400181,,,,,,,,nan
